ttwacode,ttwaname,All persons,Aged under 15 years,Aged 15 to 64 years,Aged 65 years and over,Asian: Bangladeshi,Asian: Chinese,Asian: Indian,Asian: Pakistani,Asian: Other Asian,Black: African,Black: Caribbean,Black: Other Black,Mixed: White and Asian,Mixed: White and Black African ,Mixed: White and Black Caribbean,Mixed: Other Mixed,White: British,White: Irish,White: Gypsy,White: Roma,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group,-8,0,1,2,3,4,5,6,"Job number, thousands, ASHE 8","Median, ASHE 8","Mean, ASHE 8","Job number, ASHE 7","Median, ASHE 7","Mean, ASHE 7",Rent count,Rent mean,Rent median,"Maximum rent, conservative","Maximum rent, central","Maximum rent, stretch"
202,Southend & Brentwood,620500,17.8264303,62.13775987,20.02183723,0.475342466,0.4672361,1.579113618,0.522288477,0.959484287,1.995455278,0.475761483,0.408025786,0.693440774,0.432006446,0.789089444,0.626591459,85.1590975,0.790668815,0.085560032,0.071764706,3.685898469,0.113295729,0.684560838,0.189333429,0.161861426,0.100461871,0.132619806,0.04486306,0.140442646,0.207007911,0.02340985,217,571.1608295,690.4221198,174,490.3396552,562.7856322,8290,1031.148372,970.2774427,858.2852037,727.8327259,556.1720879
108,Hull,609300,16.50965042,61.91244051,21.53407189,0.219185951,0.331511571,0.44383719,0.331511571,0.563023141,0.813720663,0.1,0.08767438,0.34383719,0.28767438,0.28767438,0.331511571,89.90942065,0.25616281,0.14383719,0.04383719,4.535696701,0.275348761,0.738371902,0.175982516,0.174793186,0.087147945,0.116060383,0.057961042,0.14283515,0.220536036,0.024683742,251,505.1976096,550.8314741,235,486.1778723,547.5340426,4240,532.125,496.875,792.2632649,671.8455932,556.1720879
112,Ipswich,580600,15.8461247,59.70399587,24.41629349,0.395108508,0.314536686,0.661522563,0.114536686,0.691129866,0.660919738,0.400654495,0.220306579,0.448122632,0.344367895,0.850792284,0.544367895,88.88734068,0.415897348,0.132225284,0.120306579,3.932363073,0.072183948,0.684981054,0.169625094,0.160197974,0.093884186,0.124090368,0.054074816,0.14173394,0.232455068,0.023938553,267,511.9525424,583.5435028,234,512.5514658,574.1156352,4750,795.0477569,753.9507959,858.2852037,727.8327259,556.1720879
216,Thetford & Mildenhall,506900,17.08106135,62.10948905,20.76527915,0.135470507,0.308699941,1.254961531,0.793391201,0.721522983,1.100946932,0.308699941,0.350581969,0.552870389,0.407555731,0.691773525,0.648293549,84.30737818,0.569796804,0.1,0.1,6.653304399,0.072085224,0.8581377,0.182090317,0.171430975,0.092567707,0.123115787,0.05054899,0.141096086,0.213507975,0.025642164,202,513.2871287,569.5876238,207,508.6777778,561.2062802,4730,916.9217759,860.7188161,858.2852037,727.8327259,556.1720879
226,Walsall & Cannock,491000,18.549389,62.21221996,19.23959267,1.336761711,0.279531568,5.034643585,4.056252546,0.820753564,1.41509165,1.089592668,0.389307536,0.654317719,0.179531568,1.278615071,0.416924644,78.27778004,0.42287169,0.057861507,0.057861507,2.770325866,0.115723014,1.247454175,0.197332792,0.187396123,0.09036244,0.116689661,0.043892982,0.133989718,0.206561939,0.023774345,187,507.9882353,566.3074866,173,484.7410405,526.6115607,2710,768.2841328,725.295203,800.5160073,678.8439848,556.1720879
56,Coventry,479500,18.50408759,65.7364755,15.8874244,0.892137643,1.02012513,8.180500521,2.860375391,2.608175182,5.376725756,0.832075078,0.704087591,0.788050052,0.416037539,1.160062565,0.588050052,62.71668405,1.292137643,0.1,0.244025026,7.192450469,0.532075078,2.468237748,0.19615434,0.163161631,0.08436386,0.106738389,0.043856534,0.147991448,0.232039429,0.025694369,198,521.6232323,591.9868687,179,521.8072626,617.2139665,3060,752.0065359,726.2254902,800.5160073,678.8439848,556.1720879
208,Stoke-on-Trent,477500,17.21017801,62.64224084,20.09346597,0.376335079,0.365633508,0.996900524,3.473549738,1.246596859,1.308942408,0.288167539,0.242282723,0.568104712,0.288167539,0.622219895,0.334052356,85.10090052,0.245884817,0.1,0.108230366,3.301424084,0.213989529,0.90678534,0.183401797,0.189036352,0.084615786,0.117139838,0.056033493,0.145269814,0.202773792,0.021729128,208,485.4490385,531.2980769,200,474.9945,518.3225,4170,578.3764988,537.6498801,800.5160073,678.8439848,556.1720879
148,Middlesbrough & Stockton,477000,18.24691824,62.25610063,19.56681342,0.190503145,0.37293501,0.972746331,2.95802935,0.768092243,1.093417191,0.071383648,0.101551363,0.574486373,0.290503145,0.26033543,0.37293501,88.81610063,0.3,0.1,0.101551363,1.428427673,0.482557652,0.72687631,0.194445032,0.170745062,0.078666555,0.106051973,0.055123841,0.14732166,0.219638564,0.020993507,176,474.1244318,530.5443182,155,473.5587097,538.5051613,2900,577.4275862,547.0689655,767.5050379,650.8504184,556.1720879
186,Reading & Bracknell,476300,18.58007558,66.59796347,14.72265379,0.346294352,1.216187277,5.661011967,3.082804955,2.858114634,2.650220449,0.98587025,0.519441528,1.173840017,0.535880747,1.201616628,0.946294352,67.01203023,0.946294352,0.137266429,0.173147176,8.5821751,0.494667227,1.465735881,0.197802012,0.105418122,0.073286295,0.100290977,0.035206235,0.135618416,0.331224973,0.02115297,215,624.1418605,747.3381395,216,641.400463,738.975463,8070,1112.855019,1030.188352,916.0544001,776.8214671,556.1720879
189,Rochdale & Oldham,465900,20.91571153,62.84410818,16.18821636,5.781584031,0.348036059,0.603927882,13.54803606,1.288216355,2.692144237,0.303927882,0.5,0.8,0.448036059,0.807855763,0.448036059,67.50573084,0.644108178,0.1,0.151963941,2.532324533,0.296072118,1.196072118,0.222982657,0.186443861,0.083900508,0.108573198,0.04830407,0.129429241,0.198044345,0.022322118,166,484.0903614,546.8698795,142,468.5422535,534.2422535,1690,654.1301775,617.4556213,817.021492,692.8407679,556.1720879
